,AFG,BIH,ETH,IRQ,LAO,SYR,UGA,VUT,YEM,PRK,IRN,LKA,TTO,TUN,SRB,PAK,BHS,BWA,GHA,KHM,PAN,ISL,MNG,ZWE,BRB,ALB,JAM,MUS,MMR,NIC,BFA,CYM,MAR,SEN,HTI,MLT,PHL,SSD,JOR,MLI,TUR,ARE,GIB,COD,MOZ,TZA,NGA,ZAF,CMR,HRV,VNM,BGR,KEN,NAM,VEN,MCO,DZA,AGO,CIV,LBN,NPL,BOL,VGB,KWT,PNG
2017-02,1,1,1,1,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06,,1,1,1,,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10,,1,1,1,,1,,1,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,,,1,1,,1,,1,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06,,,1,,,1,,,1,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10,,,1,,,1,,,1,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02,,,1,,,1,,,1,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06,,,1,,,1,,,1,2,2,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10,,,,,,1,,,1,2,2,,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02,,,,,,1,1,,1,2,2,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06,,,,,,1,1,,1,2,2,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10,,,,,,1,1,,1,2,2,,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02,,,,,,1,1,,1,2,2,,,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06,,,,,,1,1,,1,2,2,,,,,1,,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10,,,,,,1,1,,1,2,2,,,,,1,,,,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-02,,,,,,1,1,,1,2,2,,,,,1,,,,1,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
2022-06,,,,,,1,1,,1,2,2,,,,,1,,,,1,1,,,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
2022-10,,,,,,1,1,,1,2,2,,,,,,,,,1,1,,,,1,1,1,,2,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
2023-02,,,,,,1,1,,1,2,2,,,,,,,,,,1,,,,1,1,1,,2,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
2023-06,,,,,,1,1,,1,2,2,,,,,,,,,,1,,,,1,1,1,,2,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
2023-10,,,,,,1,1,,1,2,2,,,,,,,,,,,,,,1,,1,,2,,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
2024-02,,,,,,1,,,1,2,2,,,,,,,,,,,,,,,,1,,2,,1,,,1,1,,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
2024-06,,,,,,1,,,1,2,2,,,,,,,,,,,,,,,,,,2,,1,,,1,1,,1,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
2024-10,,,,,,1,,,1,2,2,,,,,,,,,,,,,,,,,,2,,1,,,,1,,1,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
2025-02,,,,,1,1,,,1,2,2,,,,,,,,,,,,,,,,,,2,,1,,,,1,,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
2025-06,,,,,1,1,,,1,2,2,,,,,,,,,,,,,,,,,,2,,1,,,,1,,,1,,,,,,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,
2025-10,,,,,1,1,,,1,2,2,,,,,,,,,,,,,,,,,,2,,,,,,1,,,1,,,,,,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,
2026-02,,,,,1,1,,,1,2,2,,,,,,,,,,,,,,,,,,2,,,,,,1,,,1,,,,,,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1